"","x","y","dpt","monocle3","tscan","spatialpca","dpt_norm","monocle3_norm","tscan_norm","spatialpca_norm"
"116848624655558012839480166971681344129",-450.992015123367,-2653.50890365243,0.0814809358047927,343.530415445123,5464,21.1877578032129,0.549114890662964,0.936827490454703,0.948108295730649,0.770892552586697
"116854681213315744076496413510435463976",-218.946015894413,-2778.74580545127,0.0973312495409415,346.057387612091,4585,22.9709214163208,0.91461298160361,0.947587643179452,0.795557098229781,0.824521508432822
"116891226651655616508599761344225484444",186.067995429039,-3546.03490623832,0.0385569299217063,0.00156478005408189,1314,16.9205631906588,0.228045817424505,0.0180492884415134,0.227872266574106,0.4373697176426
"117027886427630177881419753517094395262",-149.527997493744,-2980.3699054122,0.0339256158460977,139.56008324295,16,26.5879865124872,0.174418604651163,0.221450885109337,0.0026032627559875,0.931968921735835
"117038098212634362701304931281588155875",72.7624981552362,-2693.28435750753,0.0951228251812878,320.539006123044,4994,21.7971835889424,0.849184311003124,0.688996876084693,0.866539396043041,0.794580253932158
"117241621973284871759419056093621477707",-1302.11295285821,-2703.97590243816,0.0820979067227475,340.370604108612,4842,20.5750865366864,0.555189170426935,0.840159666782367,0.840159666782367,0.709683532310025
"117263832492493387411640877255766029879",-509.416013717651,-3775.79190552235,0.0388107882378643,139.473274773889,1037,4.29239228076206,0.230996181881291,0.217459215550156,0.179798681013537,0.0324047754405912
"117282909273907870465640777651389301408",560.234984606504,-3713.83085701317,0.0757672682253794,317.890201772485,2644,14.170438079439,0.48542172856647,0.67493925720236,0.458694897604998,0.266249763122987
"117388716732693540368495452124057263249",153.912996202707,-3398.24590498209,0.092621116432394,156.939873699904,3474,17.134759890365,0.771954182575495,0.284102742103436,0.602742103436307,0.460678415766534
"11751981306617091356516593687291341556",-114.429998338223,-2715.5748569712,0.0976746529897879,343.559730398898,4481,21.1877578032129,0.923984727525165,0.937001041305102,0.777507809788268,0.771271555808224
"117535971087355059267892199575524716768",-448.594015181065,-3465.49890336394,0.10523525709355,197.880578328823,3529,16.6825876166136,0.993231516834432,0.335300242971191,0.612287400208261,0.416714042069358
"117541132265979390233823986413749382523",942.685985028744,-4317.3788069278,0.084011620528475,340.365148018455,3291,14.7832980249541,0.582263103089205,0.834258937868796,0.570982297813259,0.338449876823953
"11762047998236393161431719680340213505",-832.947065557539,-2621.1958544299,0.0955586533783334,320.539036214968,4266,20.7800758635983,0.860118014578271,0.689170426935092,0.740194376952447,0.729391699829449
"117746469787567018247679060765635334835",761.98988456428,-4411.75100465715,0.0312618640939157,198.824478088232,1498,10.7867212115091,0.130336688649774,0.390315862547726,0.259805623047553,0.138715179079022
"117901152319315574980122986747635491790",-1079.11395341158,-3175.13790553808,0.09515865390678,340.370634200536,4156,17.8727714602997,0.850399166955918,0.840333217632766,0.721103783408539,0.54519613416714
"117915556159490477039062254282906828531",-323.259013384581,-3796.82890501618,0.0288468520579134,229.32235542058,1586,6.12337197875231,0.0964942728219368,0.45418257549462,0.27507809788268,0.0570399848398711
