,x,y,dpt,monocle3,tscan,spatialpca,dpt_norm,monocle3_norm,tscan_norm,spatialpca_norm,SpaceFlow,SpaceFlow_norm,ONTraC_v1_24_subclass,ONTraC_v1_99_label,ONTraC_v1_126_clusters,ONTraC_v1_361_clusters,ONTraC_v2_24_subclass,ONTraC_v2_99_label,ONTraC_v2_126_clusters,ONTraC_v2_361_clusters,cortical_depth
100029194729477472162047791686277547250,140.941996514797,-2678.14290305972,0.093612211022756,301.97268228048,4668,20.8097067311022,0.80197847969455,0.654633807705658,0.809961818812912,0.743035815804434,0.97343,0.9857688302672684,0.1969322146824242,0.1952022185274569,0.6005725688901449,3.12519379705767e-05,0.1948914956843345,0.2000597156442399,0.1957493838687219,0.2000628737288405,85.27652952048761
100141638384685944504186567613653468492,490.147986292839,-3128.2679066658,0.0898679486133181,280.809275985002,5129,29.1925306314923,0.696112460951059,0.611246095105866,0.889968760846928,0.996209967784726,0.9333,0.813953488372093,0.6000340630241284,0.5556637839946943,0.994850649600081,0.1999575943413111,0.3998516982679916,0.3999603864517632,0.3999671776923694,0.4000130302523025,444.2948512804313
100199724260696365101982675842433317515,610.440383398533,-3286.20480767787,0.0600595259812951,341.083768240449,5692,26.2921754540371,0.368448455397431,0.92710864283235,0.987677889621659,0.920598825090013,0.92677,0.779590419993058,0.6003922607386298,0.6396960057601876,0.9561398070245762,0.2499709074298663,0.3998557091397844,0.4541888992411917,0.4219971152538311,0.4675259386598167,599.2001048152621
100216512810042512738054357433364423486,-993.445405472815,-3621.46290442348,0.0906371830166923,342.268573503556,3108,15.2221164043646,0.719021173203749,0.931620964942728,0.539222492190212,0.357210536289558,0.38943,0.1886497743838945,0.9999075793453476,0.999940778659654,0.384790927914627,0.7833748914303192,0.800099181583008,0.999935987482882,0.8001728913520417,0.9999809559720246,1145.4307758067555
100375818383721597063890253100110999488,-1210.45485506356,-3070.83990323544,0.0825655927416596,370.227706375492,2597,17.0465510451793,0.560222145088511,0.988719194724054,0.450538007636237,0.44968732234224,0.60811,0.5184831655675113,0.7994385713876048,0.7998695339288592,0.6002959782814815,0.4000000010593333,0.5980353196131946,0.7664709056834074,0.5999791607481962,0.791236435449544,617.2407142931636
100419841609373151440771633518061001875,-1269.20585364997,-2422.23680440485,0.0,0.0021365266123041,1185,,0.0,0.0246442207566817,0.205484206872614,,0.71094,0.5605692467893093,0.0042292072055545,0.0024088016012378,0.6000004525972872,0.7999916465895224,0.005007391570996,0.2000115638462407,0.0014616163708241,0.2000357713317177,0.0
10046461432903237903314570623056010708,-1129.1449522078,-3601.7284548983,0.0799799522068576,348.470134306825,2737,14.6154560294424,0.530892051371052,0.96043040610899,0.474835126692121,0.327648285010423,0.37054,0.17042693509198195,0.9999348823673382,0.9999634856584928,0.3512491912180832,0.7999820899901441,0.8011606487794465,0.999989193090934,0.8033409876525532,0.9999975892860308,1129.1647343945217
100472409584520386833943694908609880944,-96.2760487750173,-3534.48090651631,0.093428447181231,223.033125492343,3942,16.0702624231305,0.796424852481777,0.438910100659493,0.683963901423117,0.388857305287095,0.45224,0.33859770912877474,0.9956715591235712,0.999890528598097,0.3999953116054127,0.6000020253951418,0.7988146905921371,0.999344318882758,0.7977368966318807,0.999806139248134,944.105053497744
100552737077902949827707739419189906023,704.971985936165,-3141.45690634847,0.0961406679542774,340.369611075115,4592,26.4031985883243,0.87712599791739,0.834432488719195,0.796771954182576,0.924767860526814,0.92978,0.7967719541825755,0.564886458381205,0.4704827984272047,0.8566267357019346,0.1049584129052444,0.3976370743071146,0.3976470020334895,0.3993391615475227,0.3998644153561222,475.3292641637923
10059790586711580354125512997480691589,-329.417513236403,-2710.22840709984,0.0894495714561219,340.36964116704,4794,20.7750545093054,0.684658104824714,0.834606039569594,0.831829225963207,0.719916619291264,0.93123,0.8024123568205485,0.2190332916276458,0.2258274378221673,0.6340417161840906,2.7114139150318283e-06,0.2016691364153572,0.2043503974558003,0.2133172461570507,0.2129317972470579,158.52502420549672
100639305213515969341978203261432980300,-692.73901411891,-2860.81190347672,0.0582975781767358,3.73523534163593,5641,18.962927369693,0.36046511627907,0.0784449843804235,0.978826796251302,0.633503884783021,0.9595,0.9455050329746616,0.4054508295904534,0.4182080037715331,0.7999363749127091,0.2995395499026915,0.2881710045830751,0.2981654623232226,0.3199040293023793,0.3143082562417449,382.24247880364334
100736090778629670733864007783134022865,22.5829983651638,-3435.18600409329,0.0917832223485831,316.831648146105,3453,11.3870724243142,0.74783061437001,0.671988892745574,0.599097535577924,0.150843282167898,0.47359,0.4258937868795557,0.9888687126202528,0.997466891639478,0.4001517973818101,0.5999914132857753,0.7979270181230973,0.9946853158594848,0.7984066259523306,0.993811180427163,838.8976547035669
