Cell_ID,Sample,Cell_Type,x,y
105643749702198506282348674230891019130,mouse1_slice221,198,-1084.008053293824,-2603.25990486145
10569205965064619603162569710698227455,mouse1_slice221,174,-1096.3359529972076,-3316.506806948781
105699370525021001095232231167175096829,mouse1_slice221,140,-951.4858564823866,-3534.6989065110683
105734535524347080618122125144974055433,mouse1_slice221,55,345.6290002167225,-3577.9719054698944
105764459291070317247191692189108753802,mouse1_slice221,255,634.9939876198769,-4419.054004481435
105768423305127474786980587746496663100,mouse1_slice221,120,-1479.1139534115791,-3017.6479045152664
105829634101275998760322282438595827901,mouse1_slice221,55,989.4469839036464,-4349.097806164622
105841837592211127981830545473187034838,mouse1_slice221,64,72.71889815628529,-2986.473905265332
105884239069665700277081402810851000613,mouse1_slice221,314,914.465885707736,-4419.926004460454
105964410216488504493667189226148953612,mouse1_slice221,100,373.96899953484535,-3351.2669061124325
105968012555279784990356735333874109699,mouse1_slice221,69,545.1929849684238,-3066.588903337717
10609580877978685151899961139888244539,mouse1_slice221,208,-1048.3759541511536,-2645.878903836012
106124338501292831658282689722427392867,mouse1_slice221,71,247.969093939662,-3155.9539059996605
106141057758184387941463906579994018260,mouse1_slice221,9,534.1839852333069,-3064.8449033796787
106215852766269853842202779030872034323,mouse1_slice221,159,288.186001598835,-3702.83685246557
106272654839531626904897037404657092815,mouse1_slice221,23,225.08999449014664,-3194.7579050660133
106364183187798136300117504380463173602,mouse1_slice221,311,569.7179843783379,-4359.758005908132
106378546402017208843768657267407376820,mouse1_slice221,197,-710.1790136992931,-3288.711807617545
106421724282267325193816062315771990345,mouse1_slice221,154,-1175.454955905676,-3150.8418061226607
106430644719602272302255731263749603181,mouse1_slice221,150,-1129.0359522104263,-2953.337906062603
106472471423971226076524653582899573427,mouse1_slice221,3,-117.04599827528,-4031.381904184818
106480038277340398424574720915415570277,mouse1_slice221,213,531.5679852962494,-3136.006906479597
106485286872179433723820078891048316726,mouse1_slice221,10,586.8200839668513,-4262.000003448129
106520831637397394238772907791072680498,mouse1_slice221,123,-1067.4509536921978,-3149.35395615846
106539381477583558014251126946506385507,mouse1_slice221,14,-1267.2220536977052,-3336.3339064717293
106565544597250029984166360083268767761,mouse1_slice221,168,-611.7520160675049,-3106.1409071981907
106576163532841279771137653061680766219,mouse1_slice221,4,-121.40599817037582,-3032.357454161346
106595453453436380550550098109322902145,mouse1_slice221,212,-699.0610139667988,-3512.46290704608
106747713144035640374744287399732552653,mouse1_slice221,209,502.73748598992825,-3465.335403367877
106862005421946052708575818774238190257,mouse1_slice221,232,-989.842955559492,-2827.457904279232
10704457790830561362779770229897279660,mouse1_slice221,287,-1482.2749533355236,-3005.647004804015
107049891126819266498961537546820310683,mouse1_slice221,129,-306.2550137937069,-3327.9463566735385
107084549346279386989851745448795827070,mouse1_slice221,79,800.9955336257815,-4022.007904410362
107100567350660630181114307875942079945,mouse1_slice221,93,173.20599573850632,-3028.329904258251
107131196452992774777811797797413145712,mouse1_slice221,101,-505.3939138144255,-2736.8789064586163
107131649215016333371539622370100320289,mouse1_slice221,24,316.4115509197116,-2872.69835319072
107137643867840298188258939308474929938,mouse1_slice221,154,95.48899760842323,-3295.0379026532173
107253654653329847116730533330390210811,mouse1_slice221,9,-436.2879154771566,-2908.1138071507216
107256126514262023463121299722310633120,mouse1_slice221,23,730.5324853211641,-3316.6049069464207
107321253386888696556956968569097089628,mouse1_slice221,99,-992.5134554952384,-3631.381904184818
10736630068806085334802136201246590987,mouse1_slice221,236,419.520098438859,-3747.6154062002897
107421470300364405092103271111877168242,mouse1_slice221,65,-202.6450662866235,-3485.554902881384
107425243080783335243178643782487835260,mouse1_slice221,11,-936.5624630644918,-3305.4964524015786
107464625493760192424853825379000481904,mouse1_slice221,84,-1429.4099546074867,-2868.1149033010006
107497275924492191433559309954494852154,mouse1_slice221,18,-887.7141142398119,-2873.673903167248
107505337561502049757259715913641749133,mouse1_slice221,153,-517.9180135130882,-3123.788006773591
107538216186586207881862532621635717203,mouse1_slice221,99,-207.06501618027687,-2579.2690054386853
107582804561909863794775249817907091897,mouse1_slice221,208,-1551.6929564774036,-2686.97190284729
107684148099272610493420719646875638071,mouse1_slice221,120,-219.4910158813,-3251.001903712749
107708216423521125004721304088188140781,mouse1_slice221,11,-702.2274638906122,-3348.269406184554
107723504670446996899155988245938216357,mouse1_slice221,126,-1128.8288522154094,-2919.438906878233
107748812359868486552699216687332361478,mouse1_slice221,24,807.5409834682941,-3194.321905076504
107788580975900841649936101234466241763,mouse1_slice221,248,-1502.216502855718,-2415.146354575455
107915645309839477074496287775171872201,mouse1_slice221,61,-1112.473402608931,-2973.502905577421
107993144364294033603562171332580481388,mouse1_slice221,170,578.5469841659069,-3358.569905936718
108014760540913349536134856874259851731,mouse1_slice221,2,-1344.1760518461465,-2401.7829548969867
108083508224946323873043828022747852273,mouse1_slice221,250,-1348.20905174911,-3744.7269062697887
108098586375875755946116113235900382122,mouse1_slice221,57,-1469.750853636861,-2995.193905055523
108132728035504170738656580039910254286,mouse1_slice221,9,340.2880003452301,-2989.1880052000283
108371080209323254772498097696413504099,mouse1_slice221,49,-619.2730158865452,-3736.219456474483
108374486201614685020618130824371070284,mouse1_slice221,145,14.18999856710434,-3488.770402804017
10841213995587188484203345442426746901,mouse1_slice221,70,453.692937169969,-3347.768006196618
108472677569422869395831564122677717888,mouse1_slice221,127,337.236000418663,-3033.016904145479
108500161552428503737956091961867609522,mouse1_slice221,5,717.6159856319427,-3523.6899067759514
108501378381773533905477146150962111654,mouse1_slice221,321,454.0689871609211,-4036.0689040720463
108518067376273028891339354053292823687,mouse1_slice221,47,-956.4549625858664,-3206.4209047853947
108538588551582764668552163250186804024,mouse1_slice221,129,-1155.424851575494,-3659.176903516054
108595969958153090771940740959203731914,mouse1_slice221,91,-651.8640151023865,-3300.908907324076
108609101760162455579408153531499570345,mouse1_slice221,116,-1292.635403086245,-3205.9794547960164
108709800983021310547027039289907740777,mouse1_slice221,135,-253.92411505281927,-3049.1489037573338
108710710047238456150065202142905953135,mouse1_slice221,14,974.1869842708112,-4494.59100266397
108714937947852842851969547168507453074,mouse1_slice221,28,-1007.1630551427604,-3806.9659047722816
108787083499868157551081390184022663318,mouse1_slice221,113,-1200.7429552972317,-2624.8419043421745
108830894825620995506321341378382766341,mouse1_slice221,173,-814.6950159966946,-2840.10190397501
108852434754883818318387379165995729664,mouse1_slice221,146,979.4734841436148,-4180.369905412197
108955760967088165833513015515336602276,mouse1_slice221,191,818.9805331930518,-3466.098403349519
