gene,estimate,pvalue
BMP4,0.0476239651257296,2.41553614232642e-46
BMP5,0.00900320048951587,0.00692140691212366
BMP7,0.18620286381285,0
BMPR1A,0.150329203389567,0
BMPR2,0.0356800712194853,9.5607008032958e-27
BMX,0.038448642364204,8.57722191382577e-31
BRCA1,0.111364366490933,3.62712044593866e-246
BST1,0.0369067981012277,1.67517221598368e-28
BST2,-0.11946287874679,3.25899357493078e-283
BTG1,0.357851851902602,0
BTK,-0.0631081057002372,4.54979860209119e-80
C11orf96,-0.0825416145207334,8.73881828146284e-136
C1QA,-0.348926703647915,0
C1QB,-0.386389803826107,0
C1QC,-0.361154079907542,0
C5AR2,-0.0218693963363013,5.35913333101051e-11
C9orf16,0.247627536193553,0
CALB1,0.0212915510292713,1.68935874962665e-10
CALD1,-0.0835606672557244,4.03772171411948e-139
CALM1,0.14095255782557,0
CALM2,0.265944447329555,0
CALM3,0.0908327432414989,4.00382536623446e-164
CAMP,0.00733841742575164,0.0277205596892915
CASP3,0.0367739940915143,2.61237542390098e-28
CASR,0.0180040599550126,6.63331007209407e-08
CAV1,-0.0292898268090294,1.52937609532622e-18
CCL11,0.0334011779907619,1.22480635379731e-23
CCL13,0.028264704705992,2.25562255571102e-17
CCL15,0.0745080526660415,6.14904979888859e-111
CCL18,-0.292661873129452,0
CCL19,-0.00884662969128743,0.00796298331009345
CCL2,-0.0742647407824712,3.17231309775043e-110
CCL21,0.0361975054096409,1.76509211801692e-27
CCL23,0.0127292738423762,0.000134345399156587
CCL26,0.0520853076659731,4.28359974625171e-55
CCL28,0.0501072066784531,4.05744386951614e-51
CCL3,-0.0541763627739258,1.82542431524514e-59
CCL4,-0.0583018876893673,1.36438649260498e-68
CCL4L2,-0.0226392382282012,1.10893503357381e-11
CCL5,-0.119597903329226,7.46111416159097e-284
CCL8,0.0885182955354882,6.15678551747597e-156
CCND1,0.0506168248362094,3.9671230285421e-52
CCR1,-0.123614558607189,3.06075152615004e-303
CCR10,0.0368673058072326,1.91212831527654e-28
CCR2,-0.0193418945159678,6.54408578806768e-09
CCR5,-0.0337883805251894,3.75229967848804e-24
CCR7,0.0146022574552532,1.18547891238713e-05
CCRL2,-0.0884741371169399,8.77958353490969e-156
CD14,-0.258951174629394,0
CD163,-0.231764543947708,0
CD164,0.113063848679657,1.0143109562794e-253
CD19,0.0198664507008675,2.5283645561697e-09
CD2,-0.0690601395151016,1.5206161552213e-95
CD209,0.0323471749174217,2.86487721956207e-22
CD24,0.0346936795171309,2.24050642146758e-25
CD27,0.00690162956563968,0.0384338838682946
CD274,0.00674794421506915,0.0429601720213092
CD276,0.131020243490018,0
CD28,-0.0740507283008749,1.33720178233879e-109
CD300A,-0.0684447514667582,7.03027720379059e-94
CD33,0.043559823728621,4.75006108982954e-39
CD34,-0.0923075476944366,1.8788881954011e-169
CD36,-0.195051839726748,0
CD37,-0.217963585172694,0
CD38,-0.0068754773473563,0.0391741949919229
CD3D,0.059114729859659,1.8106797987048e-70
CD3E,0.0598547481201717,3.35969909748252e-72
CD4,-0.225604875952615,0
CD40,0.133076717869092,0
CD40LG,0.00911306763063482,0.00626538343676057
CD44,0.254287380796856,0
CD47,0.113286869677277,1.01450435446198e-254
CD48,-0.0795537230567584,3.03677097597697e-126
CD52,-0.263466110102937,0
CD53,-0.221610440661297,0
CD55,-0.0540808283865178,2.91594698418928e-59
CD58,0.106744739859457,3.16596606800444e-226
CD59,-0.112141290187712,1.32140704786913e-249
CD5L,0.0221146845015464,3.26260717162838e-11
CD63,-0.178552382500989,0
CD68,-0.433166741280754,0
CD69,-0.0441015910988407,5.51739248037666e-40
CD70,0.0141274908687267,2.25709479501058e-05
CD74,-0.623859632921547,0
CD79A,0.0398148976872176,6.70033209614014e-33
CD80,-0.0505328386083712,5.82894508088711e-52
CD81,-0.106502745776414,3.32126568299752e-225
CD83,-0.0537320722652745,1.60074827951624e-58
CD84,-0.157245938643601,0
CD86,-0.046973781505983,3.91998987613956e-45
CD8B,0.0314005235240422,4.46638920231325e-21
CD9,0.589029191974758,0
CDH1,0.410914161416669,0
CDH11,0.100823127802758,6.32484924056563e-202
CDH5,-0.0196512655479501,3.74572246548231e-09
CDKN1A,-0.00897253113463242,0.00711523487623939
CDKN3,0.123777645844146,4.83885254938212e-304
CEACAM1,0.0170656786111958,3.06681371957083e-07
CEACAM6,-0.0407250325344255,2.40963157327749e-34
CELSR1,0.273906633936945,0
CELSR2,0.121823327558247,1.63243774872653e-294
CENPF,0.109260849698574,5.5797999747067e-237
CFD,-0.0437205817226279,2.51457683852338e-39
CFLAR,-0.0677232858156689,6.02359246066322e-92
CHEK1,0.13616284274284,0
CHEK2,0.127710388485471,9.88131291682493e-324
CHGA,0.0205860524213659,6.59433510689283e-10
CHI3L1,0.0729544693254392,1.98753485662363e-106
CIDEA,0.0633360597601137,1.23321783623067e-80
CIITA,-0.130168829863147,0
CLCF1,0.0683882934505123,9.97634793159071e-94
CLDN4,0.115086674785549,7.29311817825668e-263
CLEC10A,-0.0115717542917638,0.000518307614271969
CLEC12A,0.109078491963613,3.42470882056922e-236
CLEC14A,-0.011393835674328,0.000631435413019413
CLEC1A,0.0123626031354531,0.000208609257454386
CLEC2B,-0.0092236356807333,0.00566221894758788
CLEC2D,0.0847923454062449,3.30887548476612e-143
CLEC4A,0.0133117538352241,6.52170053945002e-05
CLEC4D,0.0179439858042574,7.33333242292404e-08
CLEC4E,-0.00713897769897576,0.0322423294712504
CLEC5A,0.0169309120118026,3.79703287267034e-07
CLEC7A,-0.0482027681677188,1.95742787039862e-47
CLOCK,0.0916092116430901,6.4252410875115e-167
CLU,-0.0402298134194041,1.48505058162217e-33
CMKLR1,-0.0470177824806618,3.25014165075547e-45
CNTFR,0.159018857881436,0
COL11A1,-0.0136189762213746,4.40278567188652e-05
COL12A1,-0.00781253127352749,0.0191069868048687
COL14A1,0.00957657858200248,0.00407108595863281
